run,stage,run_group,model,sweep_label,dataset,seed,mean_foscttm,jvp_rhs_cos,time_mae,time_spearman,kappa_mean,beta_mean,lr,sinkhorn_reg,lambda_dyn,kot_rna_layer,kot_protein_layer,velocity_layer
run_20260701_183237,clean,linked_ode,kot_anchor,,synthetic_linked_ode,33.0,0.032645,0.6066946387290955,0.18999839967993595,0.9999947420066378,0.46512743830680847,0.6777342557907104,0.001,0.1,1.0,spliced_mean,protein_mean,true_velocity_mean
run_20260701_183237,clean,linked_ode,kot_anchor,,synthetic_linked_ode,42.0,0.033361,0.6256297826766968,0.19716023204640928,0.9999944418864941,0.4475138187408447,0.6787154078483582,0.001,0.1,1.0,spliced_mean,protein_mean,true_velocity_mean
run_20260701_183237,clean,linked_ode,kot_anchor,,synthetic_linked_ode,77.0,0.033023,0.6411336064338684,0.1931522304460892,0.999994694102569,0.45660966634750366,0.6854243874549866,0.001,0.1,1.0,spliced_mean,protein_mean,true_velocity_mean
run_20260701_183237,clean,linked_ode,kot_anchor,,synthetic_linked_ode,88.0,0.032753,0.6122603416442871,0.18955871174234842,0.9999942913345725,0.46347615122795105,0.6843584775924683,0.001,0.1,1.0,spliced_mean,protein_mean,true_velocity_mean
run_20260701_183237,clean,linked_ode,kot_anchor,,synthetic_linked_ode,101.0,0.032238,0.6186575293540955,0.18697299459891975,0.9999946684227136,0.46415525674819946,0.6715120673179626,0.001,0.1,1.0,spliced_mean,protein_mean,true_velocity_mean
run_20260701_183237,clean,linked_ode,kot_anchor,,synthetic_linked_ode,123.0,0.031513,0.5911692380905151,0.18689097819563913,0.9999941014942241,0.46047472953796387,0.6748474836349487,0.001,0.1,1.0,spliced_mean,protein_mean,true_velocity_mean
run_20260701_183237,clean,linked_ode,kot_anchor,,synthetic_linked_ode,2026.0,0.033124,0.6081693768501282,0.1948669733946789,0.999994306694499,0.4537848234176636,0.6766578555107117,0.001,0.1,1.0,spliced_mean,protein_mean,true_velocity_mean
run_20260701_183237,clean,linked_ode,kot_nodyn,,synthetic_linked_ode,6.0,0.041475,-0.8265348076820374,0.2231882376475295,0.9999957846150384,0.6950886249542236,0.6921676397323608,0.001,0.1,1.0,spliced_mean,protein_mean,true_velocity_mean
run_20260701_183237,clean,linked_ode,kot_nodyn,,synthetic_linked_ode,9.0,0.047912,-0.8387137651443481,0.256626925385077,0.999995743887054,0.6950709819793701,0.6929585337638855,0.001,0.1,1.0,spliced_mean,protein_mean,true_velocity_mean
run_20260701_183237,clean,linked_ode,kot_nodyn,,synthetic_linked_ode,11.0,0.039613,-0.8320728540420532,0.2133390678135627,0.9999949603347016,0.6950797438621521,0.6983450651168823,0.001,0.1,1.0,spliced_mean,protein_mean,true_velocity_mean
run_20260701_183237,clean,linked_ode,kot_nodyn,,synthetic_linked_ode,17.0,0.03579,-0.8321655988693237,0.19513182636527304,0.9999956867909743,0.6950819492340088,0.696349024772644,0.001,0.1,1.0,spliced_mean,protein_mean,true_velocity_mean
run_20260701_183237,clean,linked_ode,kot_nodyn,,synthetic_linked_ode,21.0,0.040346,-0.8173482418060303,0.22639567913582714,0.9999960094230689,0.6950843334197998,0.6978495121002197,0.001,0.1,1.0,spliced_mean,protein_mean,true_velocity_mean
run_20260701_183237,clean,linked_ode,kot_nodyn,,synthetic_linked_ode,33.0,0.037194,-0.8140073418617249,0.19836487297459493,0.9999948797186508,0.6950825452804565,0.6896504163742065,0.001,0.1,1.0,spliced_mean,protein_mean,true_velocity_mean
run_20260701_183237,clean,linked_ode,kot_nodyn,,synthetic_linked_ode,42.0,0.04205,-0.8193740844726562,0.2260764152830566,0.999995654655066,0.695077121257782,0.6923195123672485,0.001,0.1,1.0,spliced_mean,protein_mean,true_velocity_mean
run_20260701_183237,clean,linked_ode,kot_nodyn,,synthetic_linked_ode,77.0,0.038782,-0.8170239925384521,0.21069293858771754,0.9999957715589954,0.6950750946998596,0.7004950046539307,0.001,0.1,1.0,spliced_mean,protein_mean,true_velocity_mean
run_20260701_183237,clean,linked_ode,kot_nodyn,,synthetic_linked_ode,88.0,0.039847,-0.8329591751098633,0.2129373874774955,0.9999949014866165,0.6950715780258179,0.6941672563552856,0.001,0.1,1.0,spliced_mean,protein_mean,true_velocity_mean
run_20260701_183237,clean,linked_ode,kot_nodyn,,synthetic_linked_ode,101.0,0.044929,-0.8325629234313965,0.23891698339667933,0.999995370302852,0.6950685977935791,0.6831969618797302,0.001,0.1,1.0,spliced_mean,protein_mean,true_velocity_mean
run_20260701_183237,clean,linked_ode,kot_nodyn,,synthetic_linked_ode,123.0,0.040998,-0.8252667784690857,0.21769713942788557,0.9999939532224156,0.6950809359550476,0.6874715685844421,0.001,0.1,1.0,spliced_mean,protein_mean,true_velocity_mean
