run,stage,run_group,model,sweep_label,dataset,seed,mean_foscttm,jvp_rhs_cos,time_mae,time_spearman,kappa_mean,beta_mean,lr,sinkhorn_reg,lambda_dyn,kot_rna_layer,kot_protein_layer,velocity_layer
run_20260701_185533,oracle,linked_ode,kot,,synthetic_linked_ode,6.0,0.034915,0.9431831240653992,0.20099579915983196,0.999996761943403,0.5139397382736206,0.5960725545883179,0.001,0.1,1.0,spliced_mean,protein_mean,true_velocity_mean
run_20260701_185533,oracle,linked_ode,kot,,synthetic_linked_ode,9.0,0.037052,0.9503607153892517,0.21311262252450489,0.9999965576552915,0.4818018078804016,0.6004438400268555,0.001,0.1,1.0,spliced_mean,protein_mean,true_velocity_mean
run_20260701_185533,oracle,linked_ode,kot,,synthetic_linked_ode,11.0,0.037594,0.9452179670333862,0.21395679135827164,0.999996302775261,0.48654574155807495,0.6041463017463684,0.001,0.1,1.0,spliced_mean,protein_mean,true_velocity_mean
run_20260701_185533,oracle,linked_ode,kot,,synthetic_linked_ode,17.0,0.039956,0.9492456912994385,0.2281764352870574,0.9999968332473737,0.46222221851348877,0.6037912368774414,0.001,0.1,1.0,spliced_mean,protein_mean,true_velocity_mean
run_20260701_185533,oracle,linked_ode,kot,,synthetic_linked_ode,21.0,0.037723,0.945310115814209,0.21331466293258655,0.9999964807592551,0.4880371689796448,0.6032128930091858,0.001,0.1,1.0,spliced_mean,protein_mean,true_velocity_mean
run_20260701_185533,oracle,linked_ode,kot,,synthetic_linked_ode,33.0,0.036708,0.9434139132499695,0.21099059811962392,0.9999965446233146,0.5067026615142822,0.5966485142707825,0.001,0.1,1.0,spliced_mean,protein_mean,true_velocity_mean
run_20260701_185533,oracle,linked_ode,kot,,synthetic_linked_ode,42.0,0.038994,0.9501008987426758,0.22458451690338066,0.9999966009992846,0.47798484563827515,0.598237931728363,0.001,0.1,1.0,spliced_mean,protein_mean,true_velocity_mean
run_20260701_185533,oracle,linked_ode,kot,,synthetic_linked_ode,77.0,0.034922,0.9360232353210449,0.20310822164432887,0.9999966172232863,0.5217955112457275,0.5996623039245605,0.001,0.1,1.0,spliced_mean,protein_mean,true_velocity_mean
run_20260701_185533,oracle,linked_ode,kot,,synthetic_linked_ode,88.0,0.036165,0.9387831687927246,0.20453410682136425,0.9999965229273006,0.49902015924453735,0.6011291742324829,0.001,0.1,1.0,spliced_mean,protein_mean,true_velocity_mean
run_20260701_185533,oracle,linked_ode,kot,,synthetic_linked_ode,101.0,0.036544,0.9499003291130066,0.20789277855571112,0.9999966065913128,0.49861329793930054,0.5904289484024048,0.001,0.1,1.0,spliced_mean,protein_mean,true_velocity_mean
run_20260701_185533,oracle,linked_ode,kot,,synthetic_linked_ode,123.0,0.037653,0.9447586536407471,0.2144456891378276,0.9999964227272523,0.4734383821487427,0.5998385548591614,0.001,0.1,1.0,spliced_mean,protein_mean,true_velocity_mean
run_20260701_185533,oracle,linked_ode,kot,,synthetic_linked_ode,2026.0,0.037353,0.9482999444007874,0.21528185637127423,0.9999964457432546,0.4856448471546173,0.5968557596206665,0.001,0.1,1.0,spliced_mean,protein_mean,true_velocity_mean
run_20260701_185533,oracle,linked_ode,kot_anchor,,synthetic_linked_ode,6.0,0.034915,0.9431831240653992,0.20099579915983196,0.999996761943403,0.5139397382736206,0.5960725545883179,0.001,0.1,1.0,spliced_mean,protein_mean,true_velocity_mean
run_20260701_185533,oracle,linked_ode,kot_anchor,,synthetic_linked_ode,9.0,0.037052,0.9503607153892517,0.21311262252450489,0.9999965576552915,0.4818018078804016,0.6004438400268555,0.001,0.1,1.0,spliced_mean,protein_mean,true_velocity_mean
run_20260701_185533,oracle,linked_ode,kot_anchor,,synthetic_linked_ode,11.0,0.037594,0.9452179670333862,0.21395679135827164,0.999996302775261,0.48654574155807495,0.6041463017463684,0.001,0.1,1.0,spliced_mean,protein_mean,true_velocity_mean
run_20260701_185533,oracle,linked_ode,kot_anchor,,synthetic_linked_ode,17.0,0.039956,0.9492456912994385,0.2281764352870574,0.9999968332473737,0.46222221851348877,0.6037912368774414,0.001,0.1,1.0,spliced_mean,protein_mean,true_velocity_mean
run_20260701_185533,oracle,linked_ode,kot_anchor,,synthetic_linked_ode,21.0,0.037723,0.945310115814209,0.21331466293258655,0.9999964807592551,0.4880371689796448,0.6032128930091858,0.001,0.1,1.0,spliced_mean,protein_mean,true_velocity_mean
run_20260701_185533,oracle,linked_ode,kot_anchor,,synthetic_linked_ode,33.0,0.036708,0.9434139132499695,0.21099059811962392,0.9999965446233146,0.5067026615142822,0.5966485142707825,0.001,0.1,1.0,spliced_mean,protein_mean,true_velocity_mean
run_20260701_185533,oracle,linked_ode,kot_anchor,,synthetic_linked_ode,42.0,0.038994,0.9501008987426758,0.22458451690338066,0.9999966009992846,0.47798484563827515,0.598237931728363,0.001,0.1,1.0,spliced_mean,protein_mean,true_velocity_mean
run_20260701_185533,oracle,linked_ode,kot_anchor,,synthetic_linked_ode,77.0,0.034922,0.9360232353210449,0.20310822164432887,0.9999966172232863,0.5217955112457275,0.5996623039245605,0.001,0.1,1.0,spliced_mean,protein_mean,true_velocity_mean
run_20260701_185533,oracle,linked_ode,kot_anchor,,synthetic_linked_ode,88.0,0.036165,0.9387831687927246,0.20453410682136425,0.9999965229273006,0.49902015924453735,0.6011291742324829,0.001,0.1,1.0,spliced_mean,protein_mean,true_velocity_mean
run_20260701_185533,oracle,linked_ode,kot_anchor,,synthetic_linked_ode,101.0,0.036544,0.9499003291130066,0.20789277855571112,0.9999966065913128,0.49861329793930054,0.5904289484024048,0.001,0.1,1.0,spliced_mean,protein_mean,true_velocity_mean
run_20260701_185533,oracle,linked_ode,kot_anchor,,synthetic_linked_ode,123.0,0.037653,0.9447586536407471,0.2144456891378276,0.9999964227272523,0.4734383821487427,0.5998385548591614,0.001,0.1,1.0,spliced_mean,protein_mean,true_velocity_mean
run_20260701_185533,oracle,linked_ode,kot_anchor,,synthetic_linked_ode,2026.0,0.037353,0.9482999444007874,0.21528185637127423,0.9999964457432546,0.4856448471546173,0.5968557596206665,0.001,0.1,1.0,spliced_mean,protein_mean,true_velocity_mean
run_20260701_185533,oracle,linked_ode,kot_nodyn,,synthetic_linked_ode,6.0,0.047161,-0.8307212591171265,0.28984836967393474,0.9999965283031517,0.69515061378479,0.5998111963272095,0.001,0.1,1.0,spliced_mean,protein_mean,true_velocity_mean
run_20260701_185533,oracle,linked_ode,kot_nodyn,,synthetic_linked_ode,9.0,0.036939,-0.8537868857383728,0.21269893978795754,0.9999968518953174,0.6950844526290894,0.5953527688980103,0.001,0.1,1.0,spliced_mean,protein_mean,true_velocity_mean
run_20260701_185533,oracle,linked_ode,kot_nodyn,,synthetic_linked_ode,11.0,0.037064,-0.8404989838600159,0.21158911782356463,0.999996645663257,0.6950699687004089,0.5935574173927307,0.001,0.1,1.0,spliced_mean,protein_mean,true_velocity_mean
run_20260701_185533,oracle,linked_ode,kot_nodyn,,synthetic_linked_ode,17.0,0.032318,-0.8407217264175415,0.18749989997999594,0.9999968309433226,0.6950699687004089,0.5944702625274658,0.001,0.1,1.0,spliced_mean,protein_mean,true_velocity_mean
run_20260701_185533,oracle,linked_ode,kot_nodyn,,synthetic_linked_ode,21.0,0.03591,-0.819240927696228,0.18971634326865372,0.9999968120793526,0.6950688362121582,0.5946426391601562,0.001,0.1,1.0,spliced_mean,protein_mean,true_velocity_mean
run_20260701_185533,oracle,linked_ode,kot_nodyn,,synthetic_linked_ode,33.0,0.034302,-0.8142952919006348,0.18337627525505099,0.9999967099352941,0.6950708031654358,0.5887432098388672,0.001,0.1,1.0,spliced_mean,protein_mean,true_velocity_mean
run_20260701_185533,oracle,linked_ode,kot_nodyn,,synthetic_linked_ode,42.0,0.036135,-0.823824405670166,0.20600640128025602,0.9999967246953368,0.6950700879096985,0.5892705917358398,0.001,0.1,1.0,spliced_mean,protein_mean,true_velocity_mean
run_20260701_185533,oracle,linked_ode,kot_nodyn,,synthetic_linked_ode,77.0,0.035564,-0.8223724961280823,0.19073614722944587,0.9999972573034455,0.6950684785842896,0.5967534780502319,0.001,0.1,1.0,spliced_mean,protein_mean,true_velocity_mean
run_20260701_185533,oracle,linked_ode,kot_nodyn,,synthetic_linked_ode,88.0,0.0357,-0.8426560163497925,0.196880176035207,0.9999966814232935,0.6950844526290894,0.5959211587905884,0.001,0.1,1.0,spliced_mean,protein_mean,true_velocity_mean
run_20260701_185533,oracle,linked_ode,kot_nodyn,,synthetic_linked_ode,101.0,0.036257,-0.8555423021316528,0.20306621324264845,0.9999967267112972,0.6950691938400269,0.5814074873924255,0.001,0.1,1.0,spliced_mean,protein_mean,true_velocity_mean
run_20260701_185533,oracle,linked_ode,kot_nodyn,,synthetic_linked_ode,123.0,0.036134,-0.8432403206825256,0.20307661532306456,0.9999967496553153,0.6950695514678955,0.5846796035766602,0.001,0.1,1.0,spliced_mean,protein_mean,true_velocity_mean
run_20260701_185533,oracle,linked_ode,kot_nodyn,,synthetic_linked_ode,2026.0,0.034293,-0.8381068706512451,0.183377875575115,0.9999968702313304,0.6950709819793701,0.5898576378822327,0.001,0.1,1.0,spliced_mean,protein_mean,true_velocity_mean
run_oracle_kotoracles_mean_20260701_205724,oracle,linked_ode,kot_oracle,,synthetic_linked_ode,6.0,0.021336,0.861305296421051,0.11164312862572515,0.9999957613110437,1.0,0.4999999403953552,0.001,0.1,1.0,spliced_mean,protein_mean,true_velocity_mean
run_oracle_kotoracles_mean_20260701_205724,oracle,linked_ode,kot_oracle,,synthetic_linked_ode,9.0,0.019648,0.8606213927268982,0.10576715343068616,0.9999955474710018,1.0,0.4999999403953552,0.001,0.1,1.0,spliced_mean,protein_mean,true_velocity_mean
run_oracle_kotoracles_mean_20260701_205724,oracle,linked_ode,kot_oracle,,synthetic_linked_ode,11.0,0.020085,0.8484625220298767,0.1097983596719344,0.9999948955828482,1.0,0.4999999403953552,0.001,0.1,1.0,spliced_mean,protein_mean,true_velocity_mean
run_oracle_kotoracles_mean_20260701_205724,oracle,linked_ode,kot_oracle,,synthetic_linked_ode,17.0,0.020065,0.8517525792121887,0.10844728945789156,0.9999956089110299,1.0,0.4999999403953552,0.001,0.1,1.0,spliced_mean,protein_mean,true_velocity_mean
run_oracle_kotoracles_mean_20260701_205724,oracle,linked_ode,kot_oracle,,synthetic_linked_ode,21.0,0.019366,0.8589253425598145,0.10560472094418882,0.9999954681269286,1.0,0.4999999403953552,0.001,0.1,1.0,spliced_mean,protein_mean,true_velocity_mean
