run,stage,run_group,model,sweep_label,seed,mean_foscttm,time_mae,time_spearman,jvp_rhs_cos,jvp_norm,rhs_norm,kappa_mean,beta_mean,lr,sinkhorn_reg,lambda_dyn,phi_init_gain,kot_rna_layer,kot_protein_layer,velocity_layer
run_20260701_185533,oracle,linked_ode,kot,,6.0,0.034915,0.20099579915983196,0.999996761943403,0.9431831240653992,0.1525924801826477,0.09951458126306534,0.5139397382736206,0.5960725545883179,0.001,0.1,1.0,0.5,spliced_mean,protein_mean,true_velocity_mean
run_20260701_185533,oracle,linked_ode,kot,,9.0,0.037052,0.21311262252450489,0.9999965576552915,0.9503607153892517,0.15846775472164154,0.1032010167837143,0.4818018078804016,0.6004438400268555,0.001,0.1,1.0,0.5,spliced_mean,protein_mean,true_velocity_mean
run_20260701_185533,oracle,linked_ode,kot,,11.0,0.037594,0.21395679135827164,0.999996302775261,0.9452179670333862,0.15968874096870422,0.09760922193527222,0.48654574155807495,0.6041463017463684,0.001,0.1,1.0,0.5,spliced_mean,protein_mean,true_velocity_mean
run_20260701_185533,oracle,linked_ode,kot,,17.0,0.039956,0.2281764352870574,0.9999968332473737,0.9492456912994385,0.16266822814941406,0.09732559323310852,0.46222221851348877,0.6037912368774414,0.001,0.1,1.0,0.5,spliced_mean,protein_mean,true_velocity_mean
run_20260701_185533,oracle,linked_ode,kot,,21.0,0.037723,0.21331466293258655,0.9999964807592551,0.945310115814209,0.1564233899116516,0.09582440555095673,0.4880371689796448,0.6032128930091858,0.001,0.1,1.0,0.5,spliced_mean,protein_mean,true_velocity_mean
run_20260701_185533,oracle,linked_ode,kot,,33.0,0.036708,0.21099059811962392,0.9999965446233146,0.9434139132499695,0.15459825098514557,0.09933732450008392,0.5067026615142822,0.5966485142707825,0.001,0.1,1.0,0.5,spliced_mean,protein_mean,true_velocity_mean
run_20260701_185533,oracle,linked_ode,kot,,42.0,0.038994,0.22458451690338066,0.9999966009992846,0.9501008987426758,0.155657097697258,0.09865027666091919,0.47798484563827515,0.598237931728363,0.001,0.1,1.0,0.5,spliced_mean,protein_mean,true_velocity_mean
run_20260701_185533,oracle,linked_ode,kot,,77.0,0.034922,0.20310822164432887,0.9999966172232863,0.9360232353210449,0.14508429169654846,0.09673984348773956,0.5217955112457275,0.5996623039245605,0.001,0.1,1.0,0.5,spliced_mean,protein_mean,true_velocity_mean
run_20260701_185533,oracle,linked_ode,kot,,88.0,0.036165,0.20453410682136425,0.9999965229273006,0.9387831687927246,0.1593094766139984,0.09415267407894135,0.49902015924453735,0.6011291742324829,0.001,0.1,1.0,0.5,spliced_mean,protein_mean,true_velocity_mean
run_20260701_185533,oracle,linked_ode,kot,,101.0,0.036544,0.20789277855571112,0.9999966065913128,0.9499003291130066,0.15984389185905457,0.10382106900215149,0.49861329793930054,0.5904289484024048,0.001,0.1,1.0,0.5,spliced_mean,protein_mean,true_velocity_mean
run_20260701_185533,oracle,linked_ode,kot,,123.0,0.037653,0.2144456891378276,0.9999964227272523,0.9447586536407471,0.15528108179569244,0.09646385908126831,0.4734383821487427,0.5998385548591614,0.001,0.1,1.0,0.5,spliced_mean,protein_mean,true_velocity_mean
run_20260701_185533,oracle,linked_ode,kot,,2026.0,0.037353,0.21528185637127423,0.9999964457432546,0.9482999444007874,0.15438807010650635,0.09937410801649094,0.4856448471546173,0.5968557596206665,0.001,0.1,1.0,0.5,spliced_mean,protein_mean,true_velocity_mean
run_20260701_185533,oracle,linked_ode,kot_anchor,,6.0,0.034915,0.20099579915983196,0.999996761943403,0.9431831240653992,0.1525924801826477,0.09951458126306534,0.5139397382736206,0.5960725545883179,0.001,0.1,1.0,0.5,spliced_mean,protein_mean,true_velocity_mean
run_20260701_185533,oracle,linked_ode,kot_anchor,,9.0,0.037052,0.21311262252450489,0.9999965576552915,0.9503607153892517,0.15846775472164154,0.1032010167837143,0.4818018078804016,0.6004438400268555,0.001,0.1,1.0,0.5,spliced_mean,protein_mean,true_velocity_mean
run_20260701_185533,oracle,linked_ode,kot_anchor,,11.0,0.037594,0.21395679135827164,0.999996302775261,0.9452179670333862,0.15968874096870422,0.09760922193527222,0.48654574155807495,0.6041463017463684,0.001,0.1,1.0,0.5,spliced_mean,protein_mean,true_velocity_mean
