run,stage,run_group,model,sweep_label,dataset,seed,mean_foscttm,jvp_rhs_cos,time_mae,time_spearman,kappa_mean,beta_mean,lr,sinkhorn_reg,lambda_dyn,kot_rna_layer,kot_protein_layer,velocity_layer
run_branch_mean_20260701_190000,branch,linked_ode,kot,,synthetic_linked_ode,88.0,0.019591,0.9314415454864502,0.15081542923475696,0.9997999979109571,0.5156265497207642,0.6852418780326843,0.001,0.1,1.0,spliced_mean,protein_mean,true_velocity_mean
run_branch_mean_20260701_190000,branch,linked_ode,kot,,synthetic_linked_ode,101.0,0.019243,0.933046281337738,0.14680893582658286,0.9998033540231459,0.5290519595146179,0.6723383069038391,0.001,0.1,1.0,spliced_mean,protein_mean,true_velocity_mean
run_branch_mean_20260701_190000,branch,linked_ode,kot,,synthetic_linked_ode,123.0,0.019145,0.9314159154891968,0.14841830497964953,0.9997583571292754,0.5069122910499573,0.675921618938446,0.001,0.1,1.0,spliced_mean,protein_mean,true_velocity_mean
run_branch_mean_20260701_190000,branch,linked_ode,kot,,synthetic_linked_ode,2026.0,0.019755,0.9264744520187378,0.15298607046422175,0.9997521429036761,0.5139282941818237,0.6788448095321655,0.001,0.1,1.0,spliced_mean,protein_mean,true_velocity_mean
run_branch_mean_20260701_190000,branch,linked_ode,kot_anchor,,synthetic_linked_ode,6.0,0.020708,0.9421668648719788,0.16100681822278462,0.9997565818733162,0.4983294606208801,0.679652750492096,0.001,0.1,1.0,spliced_mean,protein_mean,true_velocity_mean
run_branch_mean_20260701_190000,branch,linked_ode,kot_anchor,,synthetic_linked_ode,9.0,0.020333,0.9347226023674011,0.15760315080987347,0.9997639874566258,0.5018666982650757,0.6795322299003601,0.001,0.1,1.0,spliced_mean,protein_mean,true_velocity_mean
run_branch_mean_20260701_190000,branch,linked_ode,kot_anchor,,synthetic_linked_ode,11.0,0.020337,0.9294694662094116,0.15535270324345957,0.9997768611811727,0.5057346224784851,0.6869481801986694,0.001,0.1,1.0,spliced_mean,protein_mean,true_velocity_mean
run_branch_mean_20260701_190000,branch,linked_ode,kot_anchor,,synthetic_linked_ode,17.0,0.020982,0.9431024193763733,0.16208029698365833,0.9997095199219126,0.4770616590976715,0.6848668456077576,0.001,0.1,1.0,spliced_mean,protein_mean,true_velocity_mean
run_branch_mean_20260701_190000,branch,linked_ode,kot_anchor,,synthetic_linked_ode,21.0,0.019409,0.9275273680686951,0.14863019081506476,0.9997678620704964,0.5039955377578735,0.6857794523239136,0.001,0.1,1.0,spliced_mean,protein_mean,true_velocity_mean
run_branch_mean_20260701_190000,branch,linked_ode,kot_anchor,,synthetic_linked_ode,33.0,0.019213,0.9297983646392822,0.14761786696660648,0.9997492347743583,0.5204285383224487,0.6782891154289246,0.001,0.1,1.0,spliced_mean,protein_mean,true_velocity_mean
run_branch_mean_20260701_190000,branch,linked_ode,kot_anchor,,synthetic_linked_ode,42.0,0.019621,0.9369999170303345,0.1545182862334123,0.9997539265343023,0.49299097061157227,0.6797407269477844,0.001,0.1,1.0,spliced_mean,protein_mean,true_velocity_mean
run_branch_mean_20260701_190000,branch,linked_ode,kot_anchor,,synthetic_linked_ode,77.0,0.019508,0.9348503351211548,0.15235135063034222,0.9997709396612721,0.5171558856964111,0.6867836117744446,0.001,0.1,1.0,spliced_mean,protein_mean,true_velocity_mean
run_branch_mean_20260701_190000,branch,linked_ode,kot_anchor,,synthetic_linked_ode,88.0,0.019591,0.9314415454864502,0.15081542923475696,0.9997999979109571,0.5156265497207642,0.6852418780326843,0.001,0.1,1.0,spliced_mean,protein_mean,true_velocity_mean
run_branch_mean_20260701_190000,branch,linked_ode,kot_anchor,,synthetic_linked_ode,101.0,0.019243,0.933046281337738,0.14680893582658286,0.9998033540231459,0.5290519595146179,0.6723383069038391,0.001,0.1,1.0,spliced_mean,protein_mean,true_velocity_mean
run_branch_mean_20260701_190000,branch,linked_ode,kot_anchor,,synthetic_linked_ode,123.0,0.019145,0.9314159154891968,0.14841830497964953,0.9997583571292754,0.5069122910499573,0.675921618938446,0.001,0.1,1.0,spliced_mean,protein_mean,true_velocity_mean
run_branch_mean_20260701_190000,branch,linked_ode,kot_anchor,,synthetic_linked_ode,2026.0,0.019755,0.9264744520187378,0.15298607046422175,0.9997521429036761,0.5139282941818237,0.6788448095321655,0.001,0.1,1.0,spliced_mean,protein_mean,true_velocity_mean
run_branch_mean_20260701_190000,branch,linked_ode,kot_nodyn,,synthetic_linked_ode,6.0,0.382441,-0.7850858569145203,0.38002283760350986,0.9979487383981943,0.695074200630188,0.6913079023361206,0.001,0.1,1.0,spliced_mean,protein_mean,true_velocity_mean
run_branch_mean_20260701_190000,branch,linked_ode,kot_nodyn,,synthetic_linked_ode,9.0,0.379146,-0.8031783103942871,0.3633305538431589,0.9978097682925785,0.6950797438621521,0.6936814188957214,0.001,0.1,1.0,spliced_mean,protein_mean,true_velocity_mean
run_branch_mean_20260701_190000,branch,linked_ode,kot_nodyn,,synthetic_linked_ode,11.0,0.375592,-0.7853084206581116,0.35527872229973073,0.9980020768161687,0.6950705051422119,0.6978327631950378,0.001,0.1,1.0,spliced_mean,protein_mean,true_velocity_mean
run_branch_mean_20260701_190000,branch,linked_ode,kot_nodyn,,synthetic_linked_ode,17.0,0.375447,-0.7807912826538086,0.35081515957734444,0.9979212533463646,0.6950714588165283,0.6956861019134521,0.001,0.1,1.0,spliced_mean,protein_mean,true_velocity_mean
run_branch_mean_20260701_190000,branch,linked_ode,kot_nodyn,,synthetic_linked_ode,21.0,0.375923,-0.7587090730667114,0.34712050369697434,0.9981220416503044,0.6950712203979492,0.6974295377731323,0.001,0.1,1.0,spliced_mean,protein_mean,true_velocity_mean
run_branch_mean_20260701_190000,branch,linked_ode,kot_nodyn,,synthetic_linked_ode,33.0,0.37859,-0.7690644264221191,0.36441286712883353,0.9979677277207474,0.695087194442749,0.6897719502449036,0.001,0.1,1.0,spliced_mean,protein_mean,true_velocity_mean
run_branch_mean_20260701_190000,branch,linked_ode,kot_nodyn,,synthetic_linked_ode,42.0,0.379236,-0.7691068649291992,0.3680515936104171,0.998050699718357,0.6950898170471191,0.6926560401916504,0.001,0.1,1.0,spliced_mean,protein_mean,true_velocity_mean
run_branch_mean_20260701_190000,branch,linked_ode,kot_nodyn,,synthetic_linked_ode,77.0,0.376852,-0.776311993598938,0.355050143661068,0.9983165414356008,0.6950731873512268,0.7003668546676636,0.001,0.1,1.0,spliced_mean,protein_mean,true_velocity_mean
run_branch_mean_20260701_190000,branch,linked_ode,kot_nodyn,,synthetic_linked_ode,88.0,0.375163,-0.786276638507843,0.35169515337666596,0.9982033082861089,0.6950675845146179,0.6939285397529602,0.001,0.1,1.0,spliced_mean,protein_mean,true_velocity_mean
run_branch_mean_20260701_190000,branch,linked_ode,kot_nodyn,,synthetic_linked_ode,101.0,0.38033,-0.8086403608322144,0.3645620550923072,0.9983709827890268,0.695076048374176,0.6838802099227905,0.001,0.1,1.0,spliced_mean,protein_mean,true_velocity_mean
run_branch_mean_20260701_190000,branch,linked_ode,kot_nodyn,,synthetic_linked_ode,123.0,0.382418,-0.785651683807373,0.37566003915079543,0.9980606358585188,0.6950873732566833,0.6874195337295532,0.001,0.1,1.0,spliced_mean,protein_mean,true_velocity_mean
run_branch_mean_20260701_190000,branch,linked_ode,kot_nodyn,,synthetic_linked_ode,2026.0,0.375625,-0.7882476449012756,0.3535448900280833,0.9981136923007852,0.695070743560791,0.6906347274780273,0.001,0.1,1.0,spliced_mean,protein_mean,true_velocity_mean
run_branch_mean_20260701_205803,branch,linked_ode,linear_ode,,synthetic_linked_ode,,0.436789,,,,,,0.001,0.1,1.0,spliced_mean,protein_mean,true_velocity_mean
run_branch_mean_20260701_205803,branch,linked_ode,moscot,,synthetic_linked_ode,,0.27831,,,,,,0.001,0.1,1.0,spliced_mean,protein_mean,true_velocity_mean
run_branch_mean_20260701_205803,branch,linked_ode,moscot_sweep,epsilon_0p01_maxiter_100,synthetic_linked_ode,,0.246994,,,,,,0.001,0.1,1.0,spliced_mean,protein_mean,true_velocity_mean
run_branch_mean_20260701_205803,branch,linked_ode,moscot_sweep,epsilon_0p01_maxiter_1000,synthetic_linked_ode,,0.246994,,,,,,0.001,0.1,1.0,spliced_mean,protein_mean,true_velocity_mean
run_branch_mean_20260701_205803,branch,linked_ode,moscot_sweep,epsilon_0p01_maxiter_200,synthetic_linked_ode,,0.246994,,,,,,0.001,0.1,1.0,spliced_mean,protein_mean,true_velocity_mean
run_branch_mean_20260701_205803,branch,linked_ode,moscot_sweep,epsilon_0p01_maxiter_500,synthetic_linked_ode,,0.246994,,,,,,0.001,0.1,1.0,spliced_mean,protein_mean,true_velocity_mean
run_branch_mean_20260701_205803,branch,linked_ode,moscot_sweep,epsilon_0p05_maxiter_100,synthetic_linked_ode,,0.27292,,,,,,0.001,0.1,1.0,spliced_mean,protein_mean,true_velocity_mean
run_branch_mean_20260701_205803,branch,linked_ode,moscot_sweep,epsilon_0p05_maxiter_1000,synthetic_linked_ode,,0.27292,,,,,,0.001,0.1,1.0,spliced_mean,protein_mean,true_velocity_mean
run_branch_mean_20260701_205803,branch,linked_ode,moscot_sweep,epsilon_0p05_maxiter_200,synthetic_linked_ode,,0.27292,,,,,,0.001,0.1,1.0,spliced_mean,protein_mean,true_velocity_mean
run_branch_mean_20260701_205803,branch,linked_ode,moscot_sweep,epsilon_0p05_maxiter_500,synthetic_linked_ode,,0.27292,,,,,,0.001,0.1,1.0,spliced_mean,protein_mean,true_velocity_mean
run_branch_mean_20260701_205803,branch,linked_ode,moscot_sweep,epsilon_0p1_maxiter_100,synthetic_linked_ode,,0.27831,,,,,,0.001,0.1,1.0,spliced_mean,protein_mean,true_velocity_mean
run_branch_mean_20260701_205803,branch,linked_ode,moscot_sweep,epsilon_0p1_maxiter_1000,synthetic_linked_ode,,0.27831,,,,,,0.001,0.1,1.0,spliced_mean,protein_mean,true_velocity_mean
run_branch_mean_20260701_205803,branch,linked_ode,moscot_sweep,epsilon_0p1_maxiter_200,synthetic_linked_ode,,0.27831,,,,,,0.001,0.1,1.0,spliced_mean,protein_mean,true_velocity_mean
run_branch_mean_20260701_205803,branch,linked_ode,moscot_sweep,epsilon_0p1_maxiter_500,synthetic_linked_ode,,0.27831,,,,,,0.001,0.1,1.0,spliced_mean,protein_mean,true_velocity_mean
run_branch_mean_20260701_205803,branch,linked_ode,moscot_sweep,epsilon_0p5_maxiter_100,synthetic_linked_ode,,0.341559,,,,,,0.001,0.1,1.0,spliced_mean,protein_mean,true_velocity_mean
run_branch_mean_20260701_205803,branch,linked_ode,moscot_sweep,epsilon_0p5_maxiter_1000,synthetic_linked_ode,,0.341559,,,,,,0.001,0.1,1.0,spliced_mean,protein_mean,true_velocity_mean
run_branch_mean_20260701_205803,branch,linked_ode,moscot_sweep,epsilon_0p5_maxiter_200,synthetic_linked_ode,,0.341559,,,,,,0.001,0.1,1.0,spliced_mean,protein_mean,true_velocity_mean
run_branch_mean_20260701_205803,branch,linked_ode,moscot_sweep,epsilon_0p5_maxiter_500,synthetic_linked_ode,,0.341559,,,,,,0.001,0.1,1.0,spliced_mean,protein_mean,true_velocity_mean
run_branch_mean_20260701_205803,branch,linked_ode,scot,,synthetic_linked_ode,,0.445142,,,,,,0.001,0.1,1.0,spliced_mean,protein_mean,true_velocity_mean
run_branch_mean_20260701_205803,branch,linked_ode,totalvi,,synthetic_linked_ode,6.0,0.0,,,,,,0.001,0.1,1.0,spliced_mean,protein_mean,true_velocity_mean
run_branch_mean_20260701_205803,branch,linked_ode,totalvi,,synthetic_linked_ode,9.0,0.0,,,,,,0.001,0.1,1.0,spliced_mean,protein_mean,true_velocity_mean
run_branch_mean_20260701_205803,branch,linked_ode,totalvi,,synthetic_linked_ode,11.0,0.0,,,,,,0.001,0.1,1.0,spliced_mean,protein_mean,true_velocity_mean
run_branch_mean_20260701_205803,branch,linked_ode,totalvi,,synthetic_linked_ode,17.0,0.0,,,,,,0.001,0.1,1.0,spliced_mean,protein_mean,true_velocity_mean
run_branch_mean_20260701_205803,branch,linked_ode,totalvi,,synthetic_linked_ode,21.0,0.0,,,,,,0.001,0.1,1.0,spliced_mean,protein_mean,true_velocity_mean
run_branch_mean_20260701_205803,branch,linked_ode,totalvi,,synthetic_linked_ode,33.0,0.0,,,,,,0.001,0.1,1.0,spliced_mean,protein_mean,true_velocity_mean
run_branch_mean_20260701_205803,branch,linked_ode,totalvi,,synthetic_linked_ode,42.0,0.0,,,,,,0.001,0.1,1.0,spliced_mean,protein_mean,true_velocity_mean
run_branch_mean_20260701_205803,branch,linked_ode,totalvi,,synthetic_linked_ode,77.0,0.0,,,,,,0.001,0.1,1.0,spliced_mean,protein_mean,true_velocity_mean
run_branch_mean_20260701_205803,branch,linked_ode,totalvi,,synthetic_linked_ode,88.0,0.0,,,,,,0.001,0.1,1.0,spliced_mean,protein_mean,true_velocity_mean
run_branch_mean_20260701_205803,branch,linked_ode,totalvi,,synthetic_linked_ode,101.0,0.0,,,,,,0.001,0.1,1.0,spliced_mean,protein_mean,true_velocity_mean
run_branch_mean_20260701_205803,branch,linked_ode,totalvi,,synthetic_linked_ode,123.0,0.0,,,,,,0.001,0.1,1.0,spliced_mean,protein_mean,true_velocity_mean
run_branch_mean_20260701_205803,branch,linked_ode,totalvi,,synthetic_linked_ode,2026.0,0.0,,,,,,0.001,0.1,1.0,spliced_mean,protein_mean,true_velocity_mean
run_branch_mean_20260701_205803,branch,linked_ode,uniport,,synthetic_linked_ode,6.0,,,,,,,0.001,0.1,1.0,spliced_mean,protein_mean,true_velocity_mean
run_branch_mean_20260701_205803,branch,linked_ode,uniport,,synthetic_linked_ode,9.0,,,,,,,0.001,0.1,1.0,spliced_mean,protein_mean,true_velocity_mean
run_branch_mean_20260701_205803,branch,linked_ode,uniport,,synthetic_linked_ode,11.0,,,,,,,0.001,0.1,1.0,spliced_mean,protein_mean,true_velocity_mean
run_branch_mean_20260701_205803,branch,linked_ode,uniport,,synthetic_linked_ode,17.0,,,,,,,0.001,0.1,1.0,spliced_mean,protein_mean,true_velocity_mean
run_branch_mean_20260701_205803,branch,linked_ode,uniport,,synthetic_linked_ode,21.0,,,,,,,0.001,0.1,1.0,spliced_mean,protein_mean,true_velocity_mean
run_branch_mean_20260701_205803,branch,linked_ode,uniport,,synthetic_linked_ode,33.0,,,,,,,0.001,0.1,1.0,spliced_mean,protein_mean,true_velocity_mean
run_branch_mean_20260701_205803,branch,linked_ode,uniport,,synthetic_linked_ode,42.0,,,,,,,0.001,0.1,1.0,spliced_mean,protein_mean,true_velocity_mean
run_branch_mean_20260701_205803,branch,linked_ode,uniport,,synthetic_linked_ode,77.0,,,,,,,0.001,0.1,1.0,spliced_mean,protein_mean,true_velocity_mean
run_branch_mean_20260701_205803,branch,linked_ode,uniport,,synthetic_linked_ode,88.0,,,,,,,0.001,0.1,1.0,spliced_mean,protein_mean,true_velocity_mean
run_branch_mean_20260701_205803,branch,linked_ode,uniport,,synthetic_linked_ode,101.0,,,,,,,0.001,0.1,1.0,spliced_mean,protein_mean,true_velocity_mean
run_branch_mean_20260701_205803,branch,linked_ode,uniport,,synthetic_linked_ode,123.0,,,,,,,0.001,0.1,1.0,spliced_mean,protein_mean,true_velocity_mean
run_branch_mean_20260701_205803,branch,linked_ode,uniport,,synthetic_linked_ode,2026.0,,,,,,,0.001,0.1,1.0,spliced_mean,protein_mean,true_velocity_mean
