run,stage,run_group,model,sweep_label,seed,mean_foscttm,time_mae,time_spearman,jvp_rhs_cos,jvp_norm,rhs_norm,kappa_mean,beta_mean,lr,sinkhorn_reg,lambda_dyn,phi_init_gain,kot_rna_layer,kot_protein_layer,velocity_layer
run_branch_mean_20260701_190000,branch,linked_ode,kot,,2026.0,0.019755,0.15298607046422175,0.9997521429036761,0.9264744520187378,0.22478516399860382,0.15073025226593018,0.5139282941818237,0.6788448095321655,0.001,0.1,1.0,0.5,spliced_mean,protein_mean,true_velocity_mean
run_branch_mean_20260701_190000,branch,linked_ode,kot_anchor,,6.0,0.020708,0.16100681822278462,0.9997565818733162,0.9421668648719788,0.23115193843841553,0.15188540518283844,0.4983294606208801,0.679652750492096,0.001,0.1,1.0,0.5,spliced_mean,protein_mean,true_velocity_mean
run_branch_mean_20260701_190000,branch,linked_ode,kot_anchor,,9.0,0.020333,0.15760315080987347,0.9997639874566258,0.9347226023674011,0.22553545236587524,0.15329940617084503,0.5018666982650757,0.6795322299003601,0.001,0.1,1.0,0.5,spliced_mean,protein_mean,true_velocity_mean
run_branch_mean_20260701_190000,branch,linked_ode,kot_anchor,,11.0,0.020337,0.15535270324345957,0.9997768611811727,0.9294694662094116,0.2279130071401596,0.15613031387329102,0.5057346224784851,0.6869481801986694,0.001,0.1,1.0,0.5,spliced_mean,protein_mean,true_velocity_mean
run_branch_mean_20260701_190000,branch,linked_ode,kot_anchor,,17.0,0.020982,0.16208029698365833,0.9997095199219126,0.9431024193763733,0.2280319184064865,0.15172456204891205,0.4770616590976715,0.6848668456077576,0.001,0.1,1.0,0.5,spliced_mean,protein_mean,true_velocity_mean
run_branch_mean_20260701_190000,branch,linked_ode,kot_anchor,,21.0,0.019409,0.14863019081506476,0.9997678620704964,0.9275273680686951,0.22578370571136475,0.15393617749214172,0.5039955377578735,0.6857794523239136,0.001,0.1,1.0,0.5,spliced_mean,protein_mean,true_velocity_mean
run_branch_mean_20260701_190000,branch,linked_ode,kot_anchor,,33.0,0.019213,0.14761786696660648,0.9997492347743583,0.9297983646392822,0.22683025896549225,0.1513233482837677,0.5204285383224487,0.6782891154289246,0.001,0.1,1.0,0.5,spliced_mean,protein_mean,true_velocity_mean
run_branch_mean_20260701_190000,branch,linked_ode,kot_anchor,,42.0,0.019621,0.1545182862334123,0.9997539265343023,0.9369999170303345,0.22298534214496613,0.14909487962722778,0.49299097061157227,0.6797407269477844,0.001,0.1,1.0,0.5,spliced_mean,protein_mean,true_velocity_mean
run_branch_mean_20260701_190000,branch,linked_ode,kot_anchor,,77.0,0.019508,0.15235135063034222,0.9997709396612721,0.9348503351211548,0.2223185896873474,0.15441346168518066,0.5171558856964111,0.6867836117744446,0.001,0.1,1.0,0.5,spliced_mean,protein_mean,true_velocity_mean
run_branch_mean_20260701_190000,branch,linked_ode,kot_anchor,,88.0,0.019591,0.15081542923475696,0.9997999979109571,0.9314415454864502,0.22483906149864197,0.15380819141864777,0.5156265497207642,0.6852418780326843,0.001,0.1,1.0,0.5,spliced_mean,protein_mean,true_velocity_mean
run_branch_mean_20260701_190000,branch,linked_ode,kot_anchor,,101.0,0.019243,0.14680893582658286,0.9998033540231459,0.933046281337738,0.224009171128273,0.15343981981277466,0.5290519595146179,0.6723383069038391,0.001,0.1,1.0,0.5,spliced_mean,protein_mean,true_velocity_mean
run_branch_mean_20260701_190000,branch,linked_ode,kot_anchor,,123.0,0.019145,0.14841830497964953,0.9997583571292754,0.9314159154891968,0.22203774750232697,0.15175464749336243,0.5069122910499573,0.675921618938446,0.001,0.1,1.0,0.5,spliced_mean,protein_mean,true_velocity_mean
run_branch_mean_20260701_190000,branch,linked_ode,kot_anchor,,2026.0,0.019755,0.15298607046422175,0.9997521429036761,0.9264744520187378,0.22478516399860382,0.15073025226593018,0.5139282941818237,0.6788448095321655,0.001,0.1,1.0,0.5,spliced_mean,protein_mean,true_velocity_mean
run_branch_mean_20260701_190000,branch,linked_ode,kot_nodyn,,6.0,0.382441,0.38002283760350986,0.9979487383981943,-0.7850858569145203,0.2657974362373352,1.4881627559661865,0.695074200630188,0.6913079023361206,0.001,0.1,1.0,0.5,spliced_mean,protein_mean,true_velocity_mean
run_branch_mean_20260701_190000,branch,linked_ode,kot_nodyn,,9.0,0.379146,0.3633305538431589,0.9978097682925785,-0.8031783103942871,0.2532314956188202,1.5023384094238281,0.6950797438621521,0.6936814188957214,0.001,0.1,1.0,0.5,spliced_mean,protein_mean,true_velocity_mean
run_branch_mean_20260701_190000,branch,linked_ode,kot_nodyn,,11.0,0.375592,0.35527872229973073,0.9980020768161687,-0.7853084206581116,0.2550086975097656,1.5127859115600586,0.6950705051422119,0.6978327631950378,0.001,0.1,1.0,0.5,spliced_mean,protein_mean,true_velocity_mean
run_branch_mean_20260701_190000,branch,linked_ode,kot_nodyn,,17.0,0.375447,0.35081515957734444,0.9979212533463646,-0.7807912826538086,0.25347357988357544,1.4987144470214844,0.6950714588165283,0.6956861019134521,0.001,0.1,1.0,0.5,spliced_mean,protein_mean,true_velocity_mean
run_branch_mean_20260701_190000,branch,linked_ode,kot_nodyn,,21.0,0.375923,0.34712050369697434,0.9981220416503044,-0.7587090730667114,0.2546560764312744,1.5201530456542969,0.6950712203979492,0.6974295377731323,0.001,0.1,1.0,0.5,spliced_mean,protein_mean,true_velocity_mean
run_branch_mean_20260701_190000,branch,linked_ode,kot_nodyn,,33.0,0.37859,0.36441286712883353,0.9979677277207474,-0.7690644264221191,0.25914356112480164,1.4779390096664429,0.695087194442749,0.6897719502449036,0.001,0.1,1.0,0.5,spliced_mean,protein_mean,true_velocity_mean
run_branch_mean_20260701_190000,branch,linked_ode,kot_nodyn,,42.0,0.379236,0.3680515936104171,0.998050699718357,-0.7691068649291992,0.25769126415252686,1.4921165704727173,0.6950898170471191,0.6926560401916504,0.001,0.1,1.0,0.5,spliced_mean,protein_mean,true_velocity_mean
