protein_name,hgnc_id,gene_symbol,uniprot_id,cell_type,half_life_hours,beta_per_hour,quality_score_or_R2,source,anchor_weight
CD107a,HGNC:6499,LAMP1,nan,Monocytes,39.6635,0.01747569,0.9555,Mathieson2018_NatCommun_SuppData2,0.9555
CD107a,HGNC:6499,LAMP1,nan,NK,297.375,0.00233089,0.974,Mathieson2018_NatCommun_SuppData2,0.974
CD107a,HGNC:6499,LAMP1,nan,Tcells,114.548,0.00605115,0.999,Savitski2018_Cell_Tcells,0.999
CD95,HGNC:11920,FAS,nan,Monocytes,163.603,0.00423676,0.986,Mathieson2018_NatCommun_SuppData2,0.986
CD11b,HGNC:6149,ITGAM,nan,Monocytes,229.7335,0.00301718,0.992,Mathieson2018_NatCommun_SuppData2,0.992
CD272,HGNC:21087,BTLA,nan,Bcells,79.752,0.00869128,0.9675,Mathieson2018_NatCommun_SuppData2,0.9675
CD58,HGNC:1688,CD58,nan,Bcells,24.818,0.02792921,0.946,Mathieson2018_NatCommun_SuppData2,0.946
CD58,HGNC:1688,CD58,nan,Monocytes,48.982,0.01415106,0.921,Mathieson2018_NatCommun_SuppData2,0.921
CD39,HGNC:3363,ENTPD1,nan,Bcells,48.311,0.01434761,0.9884999999999999,Mathieson2018_NatCommun_SuppData2,0.9884999999999999
CD39,HGNC:3363,ENTPD1,nan,Monocytes,47.893,0.01447283,0.971,Mathieson2018_NatCommun_SuppData2,0.971
CX3CR1,HGNC:2558,CX3CR1,nan,NK,27.623,0.02509312,0.982,Mathieson2018_NatCommun_SuppData2,0.982
CD21,HGNC:2336,CR2,nan,Bcells,107.499,0.00644794,0.968,Mathieson2018_NatCommun_SuppData2,0.968
CD11a,HGNC:6148,ITGAL,nan,Bcells,67.3585,0.01029042,0.9955,Mathieson2018_NatCommun_SuppData2,0.9955
CD11a,HGNC:6148,ITGAL,nan,Monocytes,62.563,0.01107919,0.9795,Mathieson2018_NatCommun_SuppData2,0.9795
CD11a,HGNC:6148,ITGAL,nan,NK,113.8385,0.00608886,0.999,Mathieson2018_NatCommun_SuppData2,0.999
CD11a,HGNC:6148,ITGAL,nan,Tcells,89.2273,0.00776833,0.999,Savitski2018_Cell_Tcells,0.999
CD79b,HGNC:1699,CD79B,nan,Bcells,38.172,0.01815852,0.919,Mathieson2018_NatCommun_SuppData2,0.919
CD244,HGNC:18171,CD244,nan,NK,62.849,0.01102877,0.966,Mathieson2018_NatCommun_SuppData2,0.966
integrinB7,HGNC:6162,ITGB7,nan,Bcells,27.928,0.02481908,0.973,Mathieson2018_NatCommun_SuppData2,0.973
integrinB7,HGNC:6162,ITGB7,nan,NK,18.82,0.03683035,0.976,Mathieson2018_NatCommun_SuppData2,0.976
integrinB7,HGNC:6162,ITGB7,nan,Tcells,16.519,0.0419606,0.951,Savitski2018_Cell_Tcells,0.951
CD268,HGNC:17755,TNFRSF13C,nan,Bcells,76.117,0.00910634,0.991,Mathieson2018_NatCommun_SuppData2,0.991
CD54,HGNC:5344,ICAM1,nan,Bcells,38.558,0.01797674,0.992,Mathieson2018_NatCommun_SuppData2,0.992
CD54,HGNC:5344,ICAM1,nan,Monocytes,31.739,0.02183897,0.9744999999999999,Mathieson2018_NatCommun_SuppData2,0.9744999999999999
CD62P,HGNC:10721,SELP,nan,Monocytes,140.431,0.00493586,0.933,Mathieson2018_NatCommun_SuppData2,0.933
CD119,HGNC:5439,IFNGR1,nan,Bcells,16.04,0.04321366,0.848,Mathieson2018_NatCommun_SuppData2,0.848
CD119,HGNC:5439,IFNGR1,nan,Monocytes,12.006,0.0577334,0.846,Mathieson2018_NatCommun_SuppData2,0.846
CD192,HGNC:1603,CCR2,nan,Monocytes,30.112,0.02301897,0.915,Mathieson2018_NatCommun_SuppData2,0.915
CD122,HGNC:6009,IL2RB,nan,NK,9.874,0.07019923,0.855,Mathieson2018_NatCommun_SuppData2,0.855
FceRIa,HGNC:3609,FCER1A,nan,NK,572.366,0.00121102,0.98,Mathieson2018_NatCommun_SuppData2,0.98
CD41,HGNC:6138,ITGA2B,nan,Bcells,429.8965,0.00161236,0.8795,Mathieson2018_NatCommun_SuppData2,0.8795
CD163,HGNC:1631,CD163,nan,Monocytes,15.4535,0.04485373,0.9175,Mathieson2018_NatCommun_SuppData2,0.9175
CD13,HGNC:500,ANPEP,nan,Monocytes,41.1055,0.01686264,0.9655,Mathieson2018_NatCommun_SuppData2,0.9655
CD2,HGNC:1639,CD2,nan,Tcells,106.2207,0.00652554,0.995,Savitski2018_Cell_Tcells,0.995
CD29,HGNC:6153,ITGB1,nan,Bcells,41.976,0.01651294,0.959,Mathieson2018_NatCommun_SuppData2,0.959
