gene_symbol,molecule,cell_line,half_life_hours,gamma_per_hour,half_life_rep1_hours,half_life_rep2_hours,replicate_log_ratio,anchor_weight,source
AAGAB,RNA,K562,2.35153539190864,0.29476366077456634,2.27046987690084,2.43260090691644,0.06897421271746534,0.9333507483473246,Schofield2018_NatMethods_TimeLapseSeq_SuppTable2
AAMP,RNA,K562,6.72791085825694,0.10302561897193821,4.95388211150301,8.50193960501087,0.5401227921343247,0.5826766998654392,Schofield2018_NatMethods_TimeLapseSeq_SuppTable2
AAR2,RNA,K562,0.596145293312065,1.1627151775516955,0.612098808067915,0.580191778556216,0.05353501900182081,0.9478727468651453,Schofield2018_NatMethods_TimeLapseSeq_SuppTable2
AARS,RNA,K562,1.90045782485892,0.364726420914603,1.71914719270094,2.0817684570169,0.19138940253109446,0.8258109526572501,Schofield2018_NatMethods_TimeLapseSeq_SuppTable2
AARS2,RNA,K562,1.58305158986123,0.4378550800234542,1.42515047349623,1.74095270622623,0.20015509211747923,0.8186037842380293,Schofield2018_NatMethods_TimeLapseSeq_SuppTable2
AASDHPPT,RNA,K562,3.1278505988133,0.22160495159932636,3.10370414775033,3.15199704987628,0.015439951488624381,0.9846786334626025,Schofield2018_NatMethods_TimeLapseSeq_SuppTable2
AATF,RNA,K562,3.2297866354083,0.21461082690755506,3.43639910741476,3.02317416340184,0.12811682513030115,0.8797505961629138,Schofield2018_NatMethods_TimeLapseSeq_SuppTable2
ABCA3,RNA,K562,2.27025454944624,0.30531694374492835,2.2940819038832694,2.2464271950092094,0.020991680776978622,0.9792271109442983,Schofield2018_NatMethods_TimeLapseSeq_SuppTable2
ABCA7,RNA,K562,1.85002277458744,0.3746695392517635,2.06518031030474,1.63486523887014,0.2336571616970322,0.7916331715504772,Schofield2018_NatMethods_TimeLapseSeq_SuppTable2
ABCB10,RNA,K562,4.22560305964015,0.16403509056029822,4.7682903793178,3.6829157399625094,0.25828307050864757,0.7723765641322844,Schofield2018_NatMethods_TimeLapseSeq_SuppTable2
ABCB8,RNA,K562,2.17829741601106,0.31820594169792005,2.44310676590931,1.91348806611281,0.24434270492377172,0.7832191751966358,Schofield2018_NatMethods_TimeLapseSeq_SuppTable2
ABCC1,RNA,K562,1.38815562817613,0.49932958991828424,1.37597422238773,1.40033703396453,0.01755094058860578,0.9826021800567355,Schofield2018_NatMethods_TimeLapseSeq_SuppTable2
ABCC4,RNA,K562,4.75954647617531,0.14563303122043394,6.06695748794691,3.45213546440371,0.563864227092718,0.5690060415392709,Schofield2018_NatMethods_TimeLapseSeq_SuppTable2
ABCC5,RNA,K562,1.14885403813486,0.6033378980721128,1.06564041382703,1.23206766244269,0.1451178384435586,0.8649203662356477,Schofield2018_NatMethods_TimeLapseSeq_SuppTable2
ABCE1,RNA,K562,4.70649388707527,0.14727463738207122,4.84272428410129,4.57026349004925,0.057906571283425565,0.9437381155589362,Schofield2018_NatMethods_TimeLapseSeq_SuppTable2
ABCF1,RNA,K562,3.14622211866277,0.22031094894678055,3.22460980840038,3.06783442892517,0.04984003833979339,0.9513815969092456,Schofield2018_NatMethods_TimeLapseSeq_SuppTable2
ABCF2,RNA,K562,3.20585596362421,0.2162128269095236,3.02714325366564,3.38456867358279,0.11160712116057972,0.8943955775792278,Schofield2018_NatMethods_TimeLapseSeq_SuppTable2
ABCF3,RNA,K562,1.64429441083016,0.4215468811391227,1.7131182555769,1.57547056608342,0.08376125138418473,0.9196507952411455,Schofield2018_NatMethods_TimeLapseSeq_SuppTable2
ABHD2,RNA,K562,1.87890368362373,0.36891043782676153,2.10312712352908,1.65468024371837,0.23981755960240095,0.786771386858342,Schofield2018_NatMethods_TimeLapseSeq_SuppTable2
ABHD5,RNA,K562,0.659587346839761,1.050880044744608,0.7018298117996499,0.617344881879871,0.12826310778841032,0.8796219133194977,Schofield2018_NatMethods_TimeLapseSeq_SuppTable2
ABI1,RNA,K562,1.67356776429118,0.414173357870286,1.63215817246138,1.71497735612097,0.049496705856842314,0.9517082931946607,Schofield2018_NatMethods_TimeLapseSeq_SuppTable2
ABL1,RNA,K562,0.818221557737682,0.847138741340967,0.804117888661498,0.832325226813865,0.03447737593485134,0.9661101967792752,Schofield2018_NatMethods_TimeLapseSeq_SuppTable2
ABL2,RNA,K562,0.383069480075374,1.8094555077151,0.3851308634263149,0.3810080967244319,0.010762555390456438,0.9892951536908653,Schofield2018_NatMethods_TimeLapseSeq_SuppTable2
ABT1,RNA,K562,1.07710473568528,0.6435281153219963,1.01688575443511,1.13732371693546,0.11193311080963664,0.8941040613969853,Schofield2018_NatMethods_TimeLapseSeq_SuppTable2
AC002539.1,RNA,K562,0.97027307536422,0.7143836082432283,0.920766970140354,1.01977918058809,0.10213440728656639,0.9029081860735406,Schofield2018_NatMethods_TimeLapseSeq_SuppTable2
AC004980.7,RNA,K562,0.769560680253477,0.9007050364522746,0.970122623285484,0.5689987372214699,0.5335442644364216,0.5865224906254218,Schofield2018_NatMethods_TimeLapseSeq_SuppTable2
AC009784.3,RNA,K562,1.97052109473197,0.351758315307062,1.98380839053927,1.95723379892468,0.013486277546552489,0.9866042548557998,Schofield2018_NatMethods_TimeLapseSeq_SuppTable2
AC016723.4,RNA,K562,1.63731061443167,0.4233449502192013,1.7745404738842,1.50008075497915,0.16802255814575437,0.8453347652847278,Schofield2018_NatMethods_TimeLapseSeq_SuppTable2
